Species_avonet,Species_group
Campephilus_melanoleucos,Campephilus_melanoleucos
Campephilus_rubricollis,Campephilus_rubricollis
Cantorchilus_leucotis,Cantorchilus_leucotis
Celeus_flavus,Celeus_flavus
Celeus_grammicus,Celeus_grammicus
Celeus_undatus,Celeus_grammicus
Conirostrum_bicolor,Conirostrum_bicolor
Conirostrum_margaritae,Conirostrum_margaritae
Cranioleuca_vulpecula,Cranioleuca_vulpecula
Crypturellus_undulatus,Crypturellus_undulatus
Crypturellus_variegatus,Crypturellus_variegatus
Dendroplex_kienerii,Dendroplex_kienerii
Elaenia_pelzelni,Elaenia_pelzelni
Formicarius_analis,Formicarius_analis
Formicarius_colma,Formicarius_colma
Furnarius_minor,Furnarius_minor
Glaucidium_brasilianum,Glaucidium_brasilianum
Glaucidium_hardyi,Glaucidium_hardyi
Hylophylax_naevius,Hylophylax_naevia
Hylophylax_punctulatus,Hylophylax_punctulata
Knipolegus_orenocensis,Knipolegus_orenocensis
Mazaria_propinqua,Mazaria_propinqua
Megascops_choliba,Megascops_choliba
Megascops_watsonii,Megascops_watsonii
Monasa_morphoeus,Monasa_morphoeus
Monasa_nigrifrons,Monasa_nigrifrons
Hafferia_fortis,Myrmeciza_fortis
Myrmelastes_hyperythrus,Myrmeciza_hyperythra
Myrmoborus_leucophrys,Myrmoborus_leucophrys
Myrmoborus_lugubris,Myrmoborus_lugubris
Myrmoborus_myotherinus,Myrmoborus_myotherinus
Myrmochanes_hemileucus,Myrmochanes_hemileucus
Myrmotherula_assimilis,Myrmotherula_assimilis
Myrmotherula_klagesi,Myrmotherula_klagesi
Ochthornis_littoralis,Ochthornis_littoralis
Phaethornis_bourcieri,Phaethornis_bourcieri
Phaethornis_philippii,Phaethornis_bourcieri
Phaethornis_hispidus,Phaethornis_hispidus
Pheugopedius_coraya,Pheugopedius_coraya
Pheugopedius_genibarbis,Pheugopedius_coraya
Piaya_cayana,Piaya_cayana
Piaya_melanogaster,Piaya_melanogaster
Pipra_aureola,Pipra_filicauda
Pipra_fasciicauda,Pipra_filicauda
Pipra_filicauda,Pipra_filicauda
Ceratopipra_chloromeros,Pipra_erythrocephala
Ceratopipra_erythrocephala,Pipra_erythrocephala
Ceratopipra_mentalis,Pipra_erythrocephala
Ceratopipra_rubrocapilla,Pipra_erythrocephala
Saltator_coerulescens,Saltator_coerulescens
Saltator_grossus,Saltator_grossus
Schiffornis_major,Schiffornis_major
Schiffornis_aenea,Schiffornis_turdina
Schiffornis_olivacea,Schiffornis_turdina
Schiffornis_stenorhyncha,Schiffornis_turdina
Schiffornis_turdina,Schiffornis_turdina
Schiffornis_veraepacis,Schiffornis_turdina
Serpophaga_hypoleuca,Serpophaga_hypoleuca
Stigmatura_napensis,Stigmatura_napensis
Synallaxis_gujanensis,Synallaxis_gujanensis
Synallaxis_rutilans,Synallaxis_rutilans
Loriotus_cristatus,Tachyphonus_cristatus
Loriotus_luctuosus,Tachyphonus_luctuosus
Talaphorus_chlorocercus,Leucippus_chlorocercus
Thamnophilus_cryptoleucus,Thamnophilus_cryptoleucus
Thamnophilus_nigrocinereus,Thamnophilus_cryptoleucus
Trogon_collaris,Trogon_collaris
Trogon_rufus,Trogon_rufus
Xiphorhynchus_elegans,Xiphorhynchus_elegans
Xiphorhynchus_spixii,Xiphorhynchus_elegans
Xiphorhynchus_obsoletus,Xiphorhynchus_obsoletus
