"species","haplotype.F_ST","nucleotide.F_ST","Nei.G_ST","Hudson.G_ST","Hudson.H_ST","Hudson.K_ST","Dxy"
"Campephilus_melanoleucos",0.259040963309452,0.240561234082225,0.223420436751944,0.203610272469214,0.830808080808081,-1.86573044901668,0.00091332586619319
"Cantorchilus_leucotis",0.132934516570963,0.133702862464753,0.131108289921531,0.0824466487663955,0.07726188056649,0.507172883056864,0.0013175014556054
"Formicarius_analis",0.13531432668261,0.150399045682343,0.139214660057554,0.0817040291682581,0.0618875067255182,0.425028914688597,0.00137613388338963
"Formicarius_colma",0.225374301394899,0.24387433050182,0.219551325081327,0.158082682829589,0.140210419104579,0.386692364378252,0.00119164984264635
"Glaucidium_brasilianum",0.035515916918875,0.0350575849240185,0.160388723430511,0.0552049666554427,0.336268037140167,0.105923624074382,0.000740035424777645
"Megascops_choliba",0.0110389047714965,0.0118990513828969,0.0396711023140161,0.00716409502932577,0.00583494668048795,0.365569023692519,0.000382129713936478
"Monasa_nigrifrons",0.0738904718720615,0.0818607649059962,0.0862734491791958,0.0455335668710796,0.0450737587993658,0.48940813161319,0.000988758904293232
"Pheugopedius_coraya",0.0885373225912087,0.108066223101355,0.099692030327651,0.0537763758972391,0.0570743769762913,0.566000598839023,0.00207884439297886
"Piaya_cayana",0.0422314957137951,0.0313872106536704,0.139121798620418,0.0831804594204643,0.00634225693836575,-0.52348139602513,0.00144950164999598
"Pipra_erythrocephala",0.120666974575292,0.126138748404363,0.136844717538612,0.0760659390687241,0.0406945195113583,0.13347376029164,0.00115375376901604
"Saltator_coerulescens",0.229984778290474,0.272737638009327,0.239181296106249,0.139209913048567,0.100039824279986,0.156435235381927,0.00218751973288742
"Saltator_grossus",0.0296925643338946,0.022995220311466,0.0989377727124681,0.0513014158720373,0.00175866756874572,-0.117081078521932,0.00113324449500447
"Schiffornis_turdina",0.224491023993876,0.231294428603072,0.235068797073587,0.138074644433915,0.0390004589089942,-0.530524895973818,0.00152597513941432
"Tachyphonus_cristatus",0.034419759960357,0.040219251862483,0.087048825802668,0.024674220989484,0.0220049147899373,0.488342458024929,0.00151316735943621
"Tachyphonus_luctuosus",0.0208026422441612,0.0190011715129042,0.0800184753971816,0.0345236087518437,0.0105006321968712,0.118423588635715,0.0010779676973642
"Trogon_collaris",0.112608658051174,0.13007624836623,0.140546667940681,0.0763950554045342,0.0517788636933455,0.249859466456235,0.00129377479261388
"Trogon_rufus",0.0369192295358768,0.0460102736026965,0.0665019622006749,0.0220637089323436,0.022598755108055,0.514161125845724,0.00116528979510695
"Campephilus_rubricollis",0.0666471198887537,0.0697642394805666,0.0904135671575573,0.0445533674541168,0.0339388309043658,0.350073218129735,0.000910323052291004
"Celeus_flavus",0.0227927234464675,0.0233042278734406,0.056322629346385,0.0148027311822029,0.0151310302958425,0.388540066973866,0.00058123964389693
"Celeus_grammicus",0.0694675030586559,0.0744631489005648,0.106541338392301,0.0535224453535838,0.0363125034262451,0.164241622862558,0.00117910717780123
"Crypturellus_undulatus",0.218347609069043,0.242783460222966,0.238681871444051,0.166344612565707,0.16430797708139,0.42998661346246,0.00134545985412776
