"species","haplotype.F_ST","nucleotide.F_ST","Nei.G_ST","Hudson.G_ST","Hudson.H_ST","Hudson.K_ST","Dxy"
"Campephilus_melanoleucos",0.115689163791599,0.124112932387484,0.344491762220775,0.112222029135627,0.832834331337325,0.502703368956672,0.000701743162520044
"Cantorchilus_leucotis",0.174083139063004,0.172980988996728,0.39636484069494,0.166286211054141,0.900712589073634,0.560263680654882,0.001221363803187
"Formicarius_analis",0.177350334834947,0.195038664083168,0.413385168464226,0.169661869734524,0.94990366088632,0.590884048641593,0.00124116485259996
"Formicarius_colma",0.245657032971783,0.266496107022092,0.436551038881398,0.237987801064334,0.884220810942843,0.58792634535356,0.000882346255197965
"Glaucidium_brasilianum",0.0386274070839137,0.0371140481148146,0.232792931717691,0.0378398739723285,0.627674750356633,0.367588306389044,0.0004719962812022
"Campephilus_rubricollis",0.105807763734431,0.111335997614467,0.353062772901664,0.102419001116912,0.877571500250878,0.521261746901114,0.00086022519449874
"Celeus_flavus",0.0589851550549099,0.0601438457347328,0.272999647453756,0.0578992583241266,0.711365902293121,0.419308409502007,0.000570492868571295
"Celeus_grammicus",0.100624559379907,0.105813626073879,0.349367735500131,0.0969884149092607,0.87871162556618,0.519375111630067,0.00102145199795367
"Crypturellus_undulatus",0.209649094091982,0.23119783667006,0.412224709849179,0.200401556792314,0.881256133464181,0.577075652173226,0.00116593706731677
"Crypturellus_variegatus",0.165705136198725,0.189163186450292,0.40233964520312,0.158004139533245,0.934235976789168,0.583979994625172,0.00159324526345647
"Conirostrum_bicolor",0.0719197876937138,0.0733742691148339,0.322926205416378,0.0706026167602483,0.836042731072921,0.506714742197162,0.000892549388814343
"Megascops_choliba",0.0466598057854251,0.0484911052141883,0.259287971606686,0.0459079704179609,0.692822966507177,0.397622234186301,0.000381909765481978
"Monasa_nigrifrons",0.127828601405627,0.1331208234817,0.362491900105356,0.123913174613253,0.866473149492017,0.524496214355403,0.00092561653374961
"Pheugopedius_coraya",0.278539377359099,0.315303492823425,0.475040388949278,0.265763284688339,0.974196689386563,0.648660685269536,0.00194553355976203
"Piaya_cayana",0.0495801434965693,0.0516028399405681,0.339776448029052,0.0484148927992164,0.931818181818182,0.532361729205514,0.00140921762567512
"Pipra_erythrocephala",0.126957248555931,0.141486923605323,0.37717344488891,0.122516128208397,0.915918752952291,0.55357545159748,0.00107170965005323
"Saltator_coerulescens",0.182443724117631,0.222905518458827,0.415251751192923,0.174479154748518,0.947072599531616,0.600127188970794,0.00165072290320324
"Saltator_grossus",0.0873544476931733,0.0965282128679772,0.363155790984273,0.0843195726259884,0.942207484604453,0.549965623575238,0.0011192640102925
"Schiffornis_turdina",0.222227960731535,0.249619435047226,0.431139983031807,0.213391909837835,0.922894985808893,0.598124342268209,0.00119782029749712
"Tachyphonus_cristatus",0.0592979571853178,0.0721312143579518,0.343000973148989,0.057444964296694,0.924377642085486,0.54652838730734,0.00148007314886015
"Tachyphonus_luctuosus",0.0597336028336385,0.0639865719954944,0.341574871816529,0.0583926166894787,0.919491525423729,0.526380345902679,0.00105392343783777
"Trogon_collaris",0.131911769251075,0.150631897912557,0.385561498833461,0.126667412658695,0.934235074626866,0.570230618955181,0.00113511443346547
"Trogon_rufus",0.0992290065900532,0.112552606800894,0.36666441494168,0.0950824515196287,0.937177684013127,0.552260902438528,0.00112939227708532
"Glaucidium_hardyi",0.0519596567329354,0.0528251078650311,0.239702342401202,0.0507384824886244,0.625763986835919,0.365252738169249,0.000320120818446415
"Hylophylax_naevia",0.426545084274416,0.533313309683726,0.563374627897501,0.408822333247626,0.958630527817404,0.742547312872898,0.0024862259532749
"Hylophylax_punctulata",0.134198643301467,0.144900017076244,0.37594246266889,0.127772037619511,0.903763696998571,0.555604835724082,0.00119459039020012
"Megascops_watsonii",0.0640715349544807,0.0639663354054038,0.325696589814103,0.0621284817580024,0.867070895522388,0.497401324551072,0.000724049748803451
"Monasa_morphoeus",0.188832462528346,0.206986977847358,0.404218485591863,0.181959990557442,0.888649811726735,0.56865412864572,0.000941979899706194
"Myrmeciza_fortis",0.293269865111439,0.320054097017648,0.463098929581794,0.283827625913432,0.884265901482544,0.608762990185572,0.00102424576142704
"Myrmeciza_hyperythra",0.0795205385813958,0.0789389034182907,0.311226390789044,0.0778080026441142,0.792003807710614,0.463693353578377,0.000591445911109651
"Myrmoborus_leucophrys",0.182837573782877,0.201574573838891,0.41442939707502,0.175332360053214,0.940926275992439,0.588873840549027,0.00121632453804651
"Myrmoborus_myotherinus",0.303342820045661,0.351970123322036,0.485435699436052,0.291270022236001,0.951149425287356,0.653950371377055,0.00151870358276197
"Phaethornis_bourcieri",0.369960793184463,0.436382516818089,0.516136681851521,0.355668513675094,0.918347742555235,0.676052222355167,0.00170362684823516
"Phaethornis_hispidus",0.0805160972768282,0.0819420702625841,0.337897572216296,0.0776116573703335,0.878671160327395,0.510115456581999,0.00094626940357191
"Piaya_melanogaster",0.0696803198628196,0.0472658066142544,0.361468292411997,0.0674427543246435,0.966083730789613,0.544342868512648,0.00154892522266734
"Pipra_filicauda",0.180820381505185,0.195862653546056,0.389059758004342,0.173834870722236,0.859943977591036,0.547718628761449,0.000871281818647749
"Schiffornis_major",0.0268686448275778,0.0189863040191262,0.339950112970921,0.0273028700520036,0.967213114754098,0.539334736972105,0.00176676657043101
"Synallaxis_gujanensis",0.256064500944817,0.299522642994071,0.450954747672168,0.247074390298845,0.917063870352717,0.61738593720121,0.00122532574312393
"Synallaxis_rutilans",0.189695445082154,0.198385780758298,0.399025976081444,0.183581463845849,0.870265151515151,0.552111090566516,0.000735216884203842
"Xiphorhynchus_elegans",0.266462829582058,0.293532958856999,0.449585908114135,0.256883748681616,0.889671361502347,0.604259581291489,0.00122072144268011
"Xiphorhynchus_obsoletus",0.055261610623737,0.0613785321797141,0.309670351858769,0.0545803293785511,0.827406353722143,0.476030794686657,0.000714869849446451
"Conirostrum_margaritae",0.0248467796109764,0.0247257333925766,0.199842848945961,0.0321772509511761,0.532398452611219,0.345438186414747,0.000543527938999795
"Cranioleuca_vulpecula",0.0535542455872218,0.0534515649387214,0.231292139067445,0.0542666138217909,0.588483146067416,0.35986578808408,0.000413045757578975
"Dendroplex_kienerii",0.0810177018962849,0.0859597921235654,0.294543963745989,0.0791692171311649,0.734158415841584,0.453440499666558,0.000700761719784768
"Elaenia_pelzelni",-0.0216490573855397,-0.0170356138010509,0.241765071472965,0.0251857113261713,0.69608452454941,0.526643265848731,0.0013511444736478
"Furnarius_minor",0.0411718191236993,0.0399025555119451,0.234300652235253,0.0439957858404019,0.613970588235294,0.385537219752251,0.000576664809083662
"Knipolegus_orenocensis",0.222124198777175,0.247334926802588,0.420087610022828,0.214705527987305,0.885406922357343,0.575882644982496,0.000989343159409501
"Talaphorus_chlorocercus",0.0163135830683884,0.0224127320865798,0.252320132626865,0.0248851939311248,0.703916449086162,0.451353782360702,0.000867139770386231
"Mazaria_propinqua",0.0178679751683384,0.0121797312511414,0.296652124631869,0.019175358563298,0.850844277673546,0.485486077625522,0.001128614022623
"Myrmoborus_lugubris",0.17204079957456,0.178485733492018,0.357361852623425,0.164943555222489,0.772357723577236,0.502687001058783,0.000824650789010658
"Myrmochanes_hemileucus",0.0430980178001638,0.0351686291022384,0.276124421649127,0.0430927630181416,0.745581395348837,0.440353785582946,0.00083797336516637
"Myrmotherula_assimilis",0.0969452890667688,0.0988253289605558,0.324907500290374,0.0939224039580159,0.799628942486085,0.495029798485413,0.000941479504393155
"Myrmotherula_klagesi",0.0983141044923194,0.0991225002633516,0.336358263843133,0.0954724864077379,0.830878859857482,0.513453321107423,0.00104701606270263
"Ochthornis_littoralis",0.0279368298845659,0.0284769111514619,0.178019163958525,0.0282516458372045,0.478530534351145,0.273159217109375,0.000179379760906988
"Serpophaga_hypoleuca",0.0527899415762674,0.0538275046263689,0.266809779131798,0.0523500576666722,0.703842549203374,0.414605774336182,0.000498565573846424
"Stigmatura_napensis",0.0416118056353947,0.0409827728791895,0.248283014789555,0.0425926540748019,0.660622966062297,0.396736449764461,0.000524351795658976
