INDV,O(HOM),E(HOM),N_SITES,F
Campephilus_melanoleucos_AMNH12719,4687,4483.2,5377,0.228
Campephilus_melanoleucos_FMNH433276,4753,4594.2,5518,0.17194
Campephilus_melanoleucos_FMNH456682,4723,4580.1,5501,0.15517
Campephilus_melanoleucos_LSUMNS26102,4513,4350.2,5211,0.18909
Campephilus_melanoleucos_LSUMNS2802,4668,4482.2,5381,0.20676
Campephilus_melanoleucos_LSUMNS28535,4654,4484.2,5384,0.18871
Campephilus_melanoleucos_LSUMNS33338,4733,4499.6,5396,0.26035
Campephilus_melanoleucos_MPEG11746,4443,4279.6,5123,0.19371
Campephilus_melanoleucos_MPEG16102,4080,3941.6,4704,0.18151
Campephilus_melanoleucos_MPEG16666,4651,4561.2,5478,0.09796
Campephilus_melanoleucos_MPEG7571,4711,4558.1,5473,0.16709
Campephilus_melanoleucos_USNMB22230,4720,4559.8,5475,0.17501
Campephilus_rubricollis_AMNH3870,5216,5046,6022,0.17418
Campephilus_rubricollis_FMNH456685,5286,5123.4,6119,0.16335
Campephilus_rubricollis_LSUMNS15139,5110,5068.1,6052,0.04259
Campephilus_rubricollis_LSUMNS39164,5170,5056.1,6037,0.11616
Campephilus_rubricollis_LSUMNS42486,5152,5042.9,6017,0.11204
Campephilus_rubricollis_LSUMNS48392,5276,5097.4,6087,0.18044
Campephilus_rubricollis_LSUMNS5075,4731,4603.2,5472,0.14706
Campephilus_rubricollis_LSUMNS75519,5263,5125.4,6124,0.13778
Campephilus_rubricollis_LSUMNS80981,5187,5071.1,6049,0.11852
Campephilus_rubricollis_MPEG3577,5233,5066.4,6049,0.16952
Campephilus_rubricollis_MPEG7906,5210,5097.7,6090,0.1132
Cantorchilus_leucotis_FMNH389261,5388,5153.8,6318,0.20114
Cantorchilus_leucotis_FMNH391580,7819,7617.4,9450,0.11002
Cantorchilus_leucotis_FMNH392699,8093,7558.2,9375,0.29437
Cantorchilus_leucotis_INPA2275,7589,7373.6,9134,0.12237
Cantorchilus_leucotis_LSUMNS10899,8301,7598.2,9423,0.38515
Cantorchilus_leucotis_LSUMNS34792,8564,7565.2,9375,0.55187
Cantorchilus_leucotis_LSUMNS35385,7937,7579.3,9401,0.19635
Cantorchilus_leucotis_LSUMNS46117,7922,7522.3,9328,0.22136
Cantorchilus_leucotis_LSUMNS7343,8270,7594.1,9415,0.37118
Cantorchilus_leucotis_LSUMNS9529,8353,7566.1,9383,0.43309
Cantorchilus_leucotis_USNMB06896,8191,7617.7,9450,0.31287
Celeus_flavus_KU5738,2565,2447.6,3167,0.16314
Celeus_flavus_KU675,2558,2517.7,3267,0.05376
Celeus_flavus_LSUMNS34966,2489,2476.8,3209,0.01672
Celeus_flavus_LSUMNS4385,2602,2568.4,3334,0.04384
Celeus_flavus_LSUMNS75724,2564,2521.3,3274,0.05674
Celeus_flavus_LSUMNS77905,2522,2518.4,3264,0.00488
Celeus_flavus_MPEG3876,2531,2484.2,3220,0.06361
Celeus_flavus_MPEG9460,2407,2424,3135,-0.02388
Celeus_flavus_USNMB06880,2603,2554.4,3313,0.0641
Celeus_grammicus_AMNH3861,5392,5170.2,6358,0.18677
Celeus_grammicus_FMNH389781,5223,5212.6,6409,0.00867
Celeus_grammicus_LSUMNS23798,5540,5293.6,6515,0.20176
Celeus_grammicus_LSUMNS42309,5413,5239.6,6447,0.14361
Celeus_grammicus_MPEG10819,5246,5305.5,6534,-0.04842
Celeus_grammicus_MPEG10847,5245,5287,6506,-0.03442
Celeus_grammicus_MPEG13886,5437,5251.8,6461,0.15313
Celeus_grammicus_MPEG14455,5512,5305.4,6531,0.16855
Celeus_grammicus_MPEG2850,5324,5138.9,6326,0.15596
Celeus_undatus_USNMB05167,5622,5346.7,6584,0.22251
Celeus_undatus_USNMB11945,5251,5252.3,6462,-0.00109
Crypturellus_undulatus_AMNH2312,5296,5080.9,6445,0.15766
Crypturellus_undulatus_FMNH395852,5496,5042,6390,0.33681
Crypturellus_undulatus_MPEG14258,5067,4781.1,6046,0.22602
Crypturellus_undulatus_MPEG15255,5395,4919.4,6225,0.36429
Crypturellus_undulatus_MPEG7713,5155,4937,6251,0.16587
Crypturellus_undulatus_MPEG7863,5302,4963.6,6288,0.25551
Crypturellus_undulatus_MZUSP79467,5624,4906.9,6210,0.55031
Crypturellus_undulatus_MZUSP94561,5642,4992.6,6325,0.48741
Crypturellus_undulatus_YPM136994,5373,5040.3,6392,0.24614
Crypturellus_variegatus_INPA131,5815,5515.6,6683,0.25647
Crypturellus_variegatus_LSUMNS20328,8946,8927.3,10959,0.00923
Crypturellus_variegatus_LSUMNS36774,9387,8666.6,10628,0.3673
Crypturellus_variegatus_LSUMNS40657,9023,8778.5,10767,0.12295
Crypturellus_variegatus_LSUMNS76609,9470,8882.6,10900,0.29116
Crypturellus_variegatus_LSUMNS9460,9066,8665.2,10625,0.20452
Crypturellus_variegatus_MPEG14165,9485,8889.8,10912,0.29434
Crypturellus_variegatus_MPEG8335,9286,8885.8,10905,0.19819
Crypturellus_variegatus_USNMB07094,9847,8897.3,10920,0.46953
Crypturellus_variegatus_USNMB09220,9019,8852.2,10864,0.08289
Formicarius_analis_AMNH11914,9958,9258.9,10787,0.45749
Formicarius_analis_FMNH433399,10248,9724.1,11349,0.3224
Formicarius_analis_INPA1349,10272,9613.1,11212,0.41209
Formicarius_analis_LSUMNS16533,10066,9723.8,11347,0.21082
Formicarius_analis_LSUMNS36683,9850,9448.7,11020,0.25541
Formicarius_analis_LSUMNS4204,9663,9618.6,11214,0.02785
Formicarius_analis_LSUMNS42862,9967,9674.2,11287,0.18157
