species_sample,species,theta
Campephilus_melanoleucos_LSUMNS26102,Campephilus_melanoleucos,2184.617879
Campephilus_rubricollis_AMNH3870,Campephilus_rubricollis,2929.204192
Cantorchilus_leucotis_FMNH389261,Cantorchilus_leucotis,3636.130508
Celeus_flavus_KU675,Celeus_flavus,1429.642671
Celeus_grammicus_MPEG13886,Celeus_grammicus,2828.253907
Conirostrum_bicolor_9_LSU7282,Conirostrum_bicolor,2334.178551
Conirostrum_margaritae_16_Goeldi15984,Conirostrum_margaritae,1058.292011
Cranioleuca_vulpecula_25_INPA_A123,Cranioleuca_vulpecula,1021.969593
Crypturellus_undulatus_MPEG14258,Crypturellus_undulatus,2418.337835
Crypturellus_variegatus_INPA131,Crypturellus_variegatus,4051.87567
Dendroplex_kienerii_26_LSU80430,Dendroplex_kienerii,2084.81797
Elaenia_pelzelni_36_Goeldi22693,Elaenia_pelzelni,1345.636364
Formicarius_analis_INPA1349,Formicarius_analis,4356.381914
Formicarius_colma_MPEG14939,Formicarius_colma,2796.782193
Furnarius_minor_40_LSU74803,Furnarius_minor,1312.492636
Furnarius_minor_44_Goeldi16304,Furnarius_minor,1637.038062
Glaucidium_brasilianum_LSUMNS75626,Glaucidium_brasilianum,1919.813926
Glaucidium_hardyi_LSUMNS40662,Glaucidium_hardyi,1102.673921
Hylophylax_naevia_MPEG10842,Hylophylax_naevia,4970.413996
Hylophylax_punctulata_FMNH457204,Hylophylax_punctulata,3227.745449
Knipolegus_orenocensis_46_COP882,Knipolegus_orenocensis,3146.781649
Leucippus_chlorocercus_58_LSU7264,Leucippus_chlorocercus,1584.738292
Mazaria_propinqua_135_LSU43083,Mazaria_propinqua,6116.852446
Megascops_choliba_AMNH4811,Megascops_choliba,1257.875421
Megascops_watsonii_AMNH3868,Megascops_watsonii,2709.198408
Monasa_morphoeus_AMNH12750,Monasa_morphoeus,2187.308188
Monasa_nigrifrons_LSUMNS42834,Monasa_nigrifrons,2404.739955
Myrmeciza_fortis_INPA431,Myrmeciza_fortis,2462.583446
Myrmeciza_hyperythra_FMNH433423,Myrmeciza_hyperythra,1721.366951
Myrmoborus_leucophrys_INPA32,Myrmoborus_leucophrys,3566.452866
Myrmoborus_lugubris_76_LSU93417,Myrmoborus_lugubris,2127.038253
Myrmoborus_myotherinus_MPEG3884,Myrmoborus_myotherinus,3950.777184
Myrmochanes_hemileucus_78_LSU43093,Myrmochanes_hemileucus,4913.464391
Myrmotherula_assimilis_85_LSU23703,Myrmotherula_assimilis,2203.995347
Myrmotherula_klagesi_96_LSU25562,Myrmotherula_klagesi,2681.019308
Ochthornis_littoralis_115_MPEG_T1998,Ochthornis_littoralis,1775.956915
Phaethornis_bourcieri_AMNH11853,Phaethornis_bourcieri,3542.819151
Phaethornis_hispidus_MPEG13967,Phaethornis_hispidus,2785.459765
Pheugopedius_coraya_AMNH4240,Pheugopedius_coraya,5939.547016
Piaya_cayana_LSUMNS72132,Piaya_cayana,4295.861732
Piaya_melanogaster_INPA1392,Piaya_melanogaster,6437.775237
Pipra_aureola_MPEG1199,Pipra_aureola,2405.193398
Pipra_chloromeros_KU18533,Pipra_chloromeros,4154.657693
Saltator_coerulescens_FMNH391613,Saltator_coerulescens,5167.509465
Saltator_grossus_AMNH12692,Saltator_grossus,3511.509469
Schiffornis_major_FMNH457274,Schiffornis_major,6331.355221
Schiffornis_turdina_KU18445,Schiffornis_turdina,4868.764052
Serpophaga_hypoleuca_167_INPA_A1342,Serpophaga_hypoleuca,2351.254243
Stigmatura_napensis_130_INPA_A15960,Stigmatura_napensis,3665.509531
Synallaxis_gujanensis_AMNH11985,Synallaxis_gujanensis,3062.798727
Synallaxis_rutilans_LSUMNS31362,Synallaxis_rutilans,2558.870266
Tachyphonus_cristatus_INPA1636,Tachyphonus_cristatus,4053.143515
Tachyphonus_luctuosus_LSUMNS27928,Tachyphonus_luctuosus,3832.855565
Thamnophilus_cryptoleucus_139_LSU25431,Thamnophilus_cryptoleucus,3653.435875
Trogon_collaris_FMNH456552,Trogon_collaris,4200.684004
Trogon_rufus_FMNH389730,Trogon_rufus,5410.436655
Xiphorhynchus_elegans_INPA8144,Xiphorhynchus_elegans,3232.198839
Xiphorhynchus_obsoletus_FMNH391089,Xiphorhynchus_obsoletus,2025.589413
