"trait","estimate","p","t","aicc","slope","int","sterr.int","sterr.slope","deltaAIC","rel.LL","weights"
"Av_groups",0.154,0.1436,1.484,170.212,0.154,1.346,1.34,0.104,29.729,3.50291560233736e-07,2.71652817449258e-07
"SNPs",0.579,0,5.682,146.121,0.579,1.209,1.085,0.102,5.638,0.0596655784645563,0.0462709477893824
"SNPs_per_locus",0.596,0,5.884,144.615,0.596,1.186,1.071,0.101,4.132,0.126691535665441,0.0982499052718416
"SNPs_per_bp",0.652,0,6.432,140.483,0.652,1.116,1.033,0.101,0,1,0.775504888750372
"Av_UCE_gene_tree_length",0.437,1e-04,4.242,156.316,0.437,1.224,1.186,0.103,15.833,0.000364676463076117,0.000282808379927723
"D",-0.105,0.3242,-0.995,171.432,-0.105,1.395,1.354,0.106,30.949,1.90331223682463e-07,1.47602794447591e-07
"theta",0.288,0.0202,2.392,166.808,0.288,1.392,1.3,0.12,26.325,1.92131636514354e-06,1.48999023400491e-06
"seg_sites",0.321,0.0096,2.684,165.434,0.321,1.392,1.284,0.12,24.951,3.8190838269041e-06,2.96171817831161e-06
"pairwise_diffs",0.198,0.082,1.771,169.286,0.198,1.377,1.328,0.112,28.803,5.56554910466307e-07,4.31611053924647e-07
"nuc_div",0.305,0.0076,2.769,165.009,0.305,1.32,1.28,0.11,24.526,4.72331346198024e-06,3.66295268086612e-06
"seg_sites_per_bp",0.361,0.0051,2.918,164.243,0.361,1.337,1.271,0.124,23.76,6.9275800838127e-06,5.37237222220646e-06
"mtDNA.branch.length",0.436,0,5.013,145.778,0.436,1.165,1.136,0.087,5.29499999999999,0.0708280620622245,0.0549275083899699
"Trophic.Niche",-0.104,0.6262,-0.49,172.201,-0.104,1.343,1.366,0.212,31.718,1.29575773937025e-07,1.00486646151776e-07
"Nei.G_ST",0.524,0,5.512,147.38,0.524,1.264,1.096,0.095,6.89699999999999,0.0317932905643397,0.0246558522621066
"Dxy",0.367,0.0015,3.34,161.925,0.367,1.26,1.246,0.11,21.442,2.20764307596583e-05,1.71203799802741e-05
"e_slope",0.324,9e-04,3.503,159.254,0.324,1.354,1.244,0.092,18.771,8.39323030598486e-05,6.50899113469904e-05
"Nei.G_ST.pop",0.122,0.179,1.361,170.56,0.122,1.361,1.344,0.09,30.077,2.94348911340338e-07,2.28269019742782e-07
"nucleotide.F_ST.pop",0.25,0.0103,2.656,165.568,0.25,1.316,1.286,0.094,25.085,3.57158886842358e-06,2.76978462806889e-06
"Dxy.pop",0.314,0.0032,3.087,163.339,0.314,1.264,1.262,0.102,22.856,1.08863592216352e-05,8.44242479707076e-06
