"trait","estimate","p","t","aicc","slope","int","sterr.int","sterr.slope"
"Av_groups",0.122,0.2411,1.185,169.152,0.122,1.36,1.327,0.103
"SNPs",0.55,0,5.38,146.489,0.55,1.223,1.088,0.102
"loci",-0.271,0.0574,-1.941,166.813,-0.271,1.256,1.302,0.14
"SNPs_per_locus",0.567,0,5.582,145.004,0.567,1.201,1.074,0.102
"av_contig_length",-0.431,0.0036,-3.046,161.705,-0.431,1.139,1.246,0.141
"total_bp",-0.52,7e-04,-3.613,158.447,-0.52,1.047,1.212,0.144
"SNPs_per_bp",0.618,0,6.033,141.642,0.618,1.135,1.043,0.102
"Av_UCE_gene_tree_length",0.416,2e-04,4.062,155.633,0.416,1.237,1.179,0.102
"D",-0.082,0.4344,-0.787,169.95,-0.082,1.398,1.336,0.105
"theta",0.263,0.0319,2.201,165.776,0.263,1.396,1.288,0.119
"seg_sites",0.294,0.0163,2.478,164.555,0.294,1.397,1.274,0.119
"pairwise_diffs",0.181,0.1061,1.643,167.858,0.181,1.383,1.312,0.11
"nuc_div",0.283,0.0124,2.585,164.052,0.283,1.329,1.269,0.109
"seg_sites_per_bp",0.33,0.0096,2.684,163.572,0.33,1.346,1.264,0.123
"subtending_branch",0.105,0.5573,0.594,84.91,0.105,0.926,0.678,0.176
"stem_length",-0.075,0.6388,-0.474,85.045,-0.075,0.929,0.679,0.157
"mtDNA.branch.length",0.422,0,4.898,144.68,0.422,1.179,1.125,0.086
"Beak.Length_Nares",0.071,0.7854,0.274,170.512,0.071,1.387,1.343,0.258
"Hand.wing.Index",0.604,0.0636,1.893,166.99,0.604,1.03,1.316,0.319
"Trophic.Niche",-0.086,0.6817,-0.412,170.413,-0.086,1.355,1.345,0.209
"Mass",-0.404,0.1749,-1.374,168.665,-0.404,2.334,1.488,0.294
"Range.Size",-0.054,0.6311,-0.483,170.348,-0.054,1.425,1.342,0.111
"nucleotide.F_ST",0.397,1e-04,4.161,154.991,0.397,1.326,1.172,0.095
"Nei.G_ST",0.475,0,4.878,150.094,0.475,1.281,1.123,0.097
"Dxy",0.328,0.0042,2.988,162.013,0.328,1.278,1.247,0.11
"e_statistic",-0.305,0.0016,-3.328,158.376,-0.305,1.368,1.234,0.092
"e_slope",0.299,0.002,3.246,158.84,0.299,1.362,1.239,0.092
"a_statistic",-0.103,0.3002,-1.046,167.698,-0.103,1.372,1.341,0.098
"a_slope",0.269,0.0061,2.855,160.947,0.269,1.348,1.263,0.094
"Nei.G_ST.pop",0.093,0.2975,1.052,169.454,0.093,1.372,1.331,0.089
"nucleotide.F_ST.pop",0.223,0.0206,2.383,164.987,0.223,1.329,1.28,0.094
"Dxy.pop",0.281,0.0078,2.762,163.187,0.281,1.282,1.26,0.102
