"trait","estimate","p","t","aicc","slope","int","sterr.int","sterr.slope"
"Av_groups",0.136,0.2023,1.291,164.899,0.136,1.354,1.338,0.106
"SNPs",0.562,0,5.427,142.296,0.562,1.216,1.09,0.104
"loci",-0.302,0.0396,-2.11,162.164,-0.302,1.24,1.307,0.143
"SNPs_per_locus",0.579,0,5.636,140.773,0.579,1.194,1.075,0.103
"av_contig_length",-0.495,0.0022,-3.212,156.82,-0.495,1.097,1.247,0.154
"total_bp",-0.568,4e-04,-3.757,153.614,-0.568,1.011,1.212,0.151
"SNPs_per_bp",0.635,0,6.122,137.19,0.635,1.125,1.041,0.104
"Av_UCE_gene_tree_length",0.432,1e-04,4.19,150.867,0.432,1.228,1.178,0.103
"D",-0.083,0.4398,-0.778,165.977,-0.083,1.397,1.351,0.107
"theta",0.277,0.0264,2.284,161.437,0.277,1.394,1.296,0.121
"seg_sites",0.307,0.0139,2.543,160.269,0.307,1.395,1.283,0.121
"pairwise_diffs",0.194,0.0891,1.732,163.575,0.194,1.38,1.322,0.112
"nuc_div",0.295,0.0102,2.663,159.695,0.295,1.325,1.276,0.111
"seg_sites_per_bp",0.342,0.0085,2.733,159.351,0.342,1.342,1.272,0.125
"subtending_branch",0.04,0.8824,0.149,81.358,0.04,0.917,0.699,0.265
"stem_length",-0.29,0.1964,-1.326,79.55,-0.29,0.867,0.677,0.219
"mtDNA.branch.length",0.424,0,4.85,141.158,0.424,1.176,1.135,0.087
"Beak.Length_Nares",0.087,0.7418,0.331,166.489,0.087,1.385,1.358,0.262
"Hand.wing.Index",0.593,0.0722,1.835,163.216,0.593,1.036,1.332,0.323
"Trophic.Niche",-0.098,0.6454,-0.463,166.381,-0.098,1.349,1.359,0.212
"Mass",-0.395,0.1907,-1.326,164.809,-0.395,2.312,1.506,0.298
"Range.Size",-0.073,0.5244,-0.641,166.178,-0.073,1.436,1.355,0.114
"nucleotide.F_ST",0.414,1e-04,4.289,150.218,0.414,1.321,1.171,0.097
"Nei.G_ST",0.537,0,5.461,142.05,0.537,1.261,1.087,0.098
"Dxy",0.365,0.0021,3.242,156.65,0.365,1.262,1.242,0.112
"e_statistic",-0.311,0.0017,-3.309,154.541,-0.311,1.365,1.246,0.094
"e_slope",0.305,0.0022,3.226,155.007,0.305,1.359,1.251,0.094
"a_statistic",-0.102,0.3151,-1.014,163.799,-0.102,1.371,1.358,0.101
"a_slope",0.276,0.006,2.867,156.931,0.276,1.345,1.274,0.096
"Nei.G_ST.pop",0.113,0.2252,1.227,165.061,0.113,1.366,1.34,0.092
"nucleotide.F_ST.pop",0.239,0.0152,2.508,160.434,0.239,1.322,1.285,0.095
"Dxy.pop",0.311,0.0043,2.985,158.053,0.311,1.267,1.258,0.104
