"trait","F","P","island.floodplain.T","island.floodplain.P","island.upland.T","island.upland.P","floodplain.upland.T","floodplain.upland.P"
"Av_groups",1.992,0.156,0.742,0.595,1.938,0.238,1.338,0.009
"SNPs",16.999,0.001,4.178,0.003,5.74,0.003,1.819,0.003
"loci",3.241,0.052,1.7,0.149,2.531,0.072,0.956,0.072
"SNPs_per_locus",18.301,0.001,4.307,0.003,5.963,0.003,1.925,0.003
"av_contig_length",41.785,0.001,7.76,0.003,8.45,0.003,0.932,0.018
"total_bp",45.159,0.001,7.932,0.003,8.877,0.003,1.218,0.005
"SNPs_per_bp",22.83,0.001,4.901,0.003,6.637,0.003,2.026,0.003
"Av_UCE_gene_tree_length",6.146,0.006,1.752,0.156,3.489,0.008,1.958,0.003
"D",12.082,0.001,4.339,0.003,4.407,0.004,0.169,0.663
"theta",2.269,0.11,0.913,0.487,2.096,0.166,1.328,0.003
"seg_sites",3.156,0.067,1.275,0.3,2.502,0.084,1.385,0.006
"pairwise_diffs",0.911,0.37,0.323,1,0.877,1,1.319,0.009
"nuc_div",2.619,0.083,0.58,0.639,2.137,0.144,1.734,0.006
"seg_sites_per_bp",6.538,0.002,2.379,0.028,3.599,0.003,1.401,0.003
"subtending_branch",1.085,0.202,1.471,0.345,0.556,0.532,0.793,0.368
"stem_length",1.295,0.162,1.172,0.41,0.497,0.594,1.537,0.057
"mtDNA.branch.length",10.199,0.001,1.494,0.221,4.276,0.003,3.239,0.003
"Beak.Length_Nares",3.41,0.045,2.359,0.084,2.286,0.118,0.029,0.94
"Hand.wing.Index",0.511,0.526,0.397,0.912,0.987,0.912,0.66,0.321
"Trophic.Niche",0.989,0.354,1.338,0.861,1.133,0.861,0.198,0.861
"Mass",2.456,0.09,2.145,0.129,1.704,0.326,0.441,0.326
"Range.Size",31.684,0.001,7.638,0.003,6.274,0.003,1.342,0.005
"nucleotide.F_ST",6.648,0.004,1.103,0.394,3.467,0.006,2.637,0.003
"Nei.G_ST",9.79,0.001,1.92,0.08,4.359,0.003,2.737,0.003
"Dxy",3.832,0.022,1.214,0.332,2.729,0.03,1.701,0.003
"e_statistic",4.429,0.01,1.074,0.389,2.865,0.012,2.043,0.003
"e_slope",3.989,0.02,0.895,0.496,2.681,0.022,2.034,0.003
"a_statistic",1.042,0.309,1.221,0.852,1.348,0.852,0.17,0.852
"a_slope",3.513,0.026,0.854,0.482,2.52,0.048,1.898,0.003
"Nei.G_ST.pop",1.307,0.259,0.134,0.92,1.387,0.59,1.388,0.006
"nucleotide.F_ST.pop",3.972,0.025,1.243,0.313,2.78,0.03,1.726,0.003
"Dxy.pop",4.795,0.013,1.617,0.179,3.089,0.01,1.662,0.003
