"trait","F","P","island.floodplain.T","island.floodplain.P","island.upland.T","island.upland.P","floodplain.upland.T","floodplain.upland.P"
"Av_groups",1.878,0.2,0.979,0.499,1.932,0.256,1.029,0.021
"SNPs",18.589,0.001,4.645,0.003,5.896,0.003,1.35,0.003
"loci",3.254,0.061,1.744,0.176,2.525,0.084,0.843,0.084
"SNPs_per_locus",20.072,0.001,4.797,0.003,6.138,0.003,1.449,0.003
"av_contig_length",83.067,0.001,11.521,0.003,11.326,0.003,0.21,0.552
"total_bp",81.25,0.001,11.186,0.003,11.409,0.003,0.241,0.482
"SNPs_per_bp",26.063,0.001,5.567,0.003,6.954,0.003,1.498,0.003
"Av_UCE_gene_tree_length",5.935,0.007,1.839,0.146,3.442,0.01,1.732,0.003
"D",14.489,0.001,4.933,0.003,4.588,0.003,0.373,0.272
"theta",2.18,0.131,1.133,0.379,2.087,0.168,1.03,0.036
"seg_sites",3.114,0.07,1.499,0.256,2.494,0.062,1.074,0.036
"pairwise_diffs",0.713,0.444,0.181,1,0.865,1,1.13,0.024
"nuc_div",2.391,0.113,0.777,0.578,2.121,0.158,1.452,0.006
"seg_sites_per_bp",6.913,0.005,2.709,0.028,3.638,0.012,1.004,0.024
"subtending_branch",0.399,0.513,0.819,1,0.654,1,0.15,1
"stem_length",0.44,0.462,0.42,0.998,0.6,0.998,0.931,0.246
"mtDNA.branch.length",9.629,0.002,1.613,0.25,4.224,0.003,2.941,0.003
"Beak.Length_Nares",3.409,0.058,2.344,0.171,2.284,0.171,0.064,0.857
"Hand.wing.Index",0.485,0.563,0.408,0.944,0.969,0.944,0.605,0.273
"Trophic.Niche",1.143,0.328,1.474,0.774,1.12,0.774,0.382,0.774
"Mass",2.636,0.115,2.243,0.204,1.684,0.204,0.604,0.204
"Range.Size",38.931,0.001,8.543,0.003,6.696,0.003,1.995,0.003
"nucleotide.F_ST",6.272,0.006,1.253,0.35,3.434,0.004,2.357,0.003
"Nei.G_ST",10.383,0.001,2.427,0.042,4.552,0.003,2.295,0.003
"Dxy",3.933,0.041,1.626,0.206,2.804,0.034,1.273,0.006
"e_statistic",4.179,0.011,1.137,0.365,2.818,0.014,1.852,0.003
"e_slope",3.747,0.021,0.953,0.472,2.636,0.02,1.855,0.003
"a_statistic",1.058,0.345,1.265,0.963,1.325,0.963,0.067,0.963
"a_slope",3.288,0.049,0.931,0.5,2.48,0.046,1.707,0.003
"Nei.G_ST.pop",1.076,0.339,0.412,0.753,1.391,0.578,1.058,0.03
"nucleotide.F_ST.pop",3.827,0.033,1.425,0.278,2.76,0.036,1.443,0.009
"Dxy.pop",5.087,0.015,2.045,0.095,3.177,0.021,1.223,0.021
