"species","habitat","structure_prob_cutoff","STRUCTURE","BAPS","DAPC","Av_groups","Fst_vcftools","Dxy_Mike_and_Oscar","Fst_Mike_and_Oscar","SNPs","loci","SNPs_per_locus","av_contig_length","total_bp","SNPs_per_bp","Av_UCE_gene_tree_length","D","theta","seg_sites","pairwise_diffs","nuc_div","seg_sites_per_bp","subtending_branch","stem_length","log.theta","species_sample","log.total_bp","mtDNA.branch.length","Beak.Length_Culmen_1","Beak.Length_Nares","Beak.Width_1","Beak.Depth_1","Tarsus.Length_1","Wing.Length_1","Kipps.Distance_1","Secondary1_1","Hand.wing.Index","Tail.Length_1","Habitat","Habitat.Density","Migration","Trophic.Level","Trophic.Niche","Primary.Lifestyle","Mass","Range.Size","haplotype.F_ST","nucleotide.F_ST","Nei.G_ST","Hudson.G_ST","Hudson.H_ST","Hudson.K_ST","Dxy","e_statistic","e_slope","a_statistic","a_slope","Nei.G_ST.pop","nucleotide.F_ST.pop","Dxy.pop","Sister_clade_richness","heterozygosity","inbreeding"
"Campephilus_melanoleucos","floodplain",2,2,2,1,1.67,0.26529,0.0152338,0.0161778,5657,2013,2.810233,543.9130651,1094897,0.005166696,0.003351457,-1.701169351,2196.217341,8006,1290.112554,0.001287488,0.007450929,NA,NA,3.339375484,"Campephilus_melanoleucos_LSUMNS26102",6.039373266,0.012305,45.6375,34.55,12.1714285714286,12.5428571428571,32.75,184,40.6538461538462,144.815384615385,21.8769230769231,119.392857142857,1,1,1,3,4,3,256,11099024.68,0.115689163791599,0.124112932387484,0.344491762220775,0.112222029135627,0.832834331337325,0.502703368956672,0.000701743162520044,-0.032266,0.0110751,0.143714,0.00354788,0.223420436751944,0.240561234082225,0.00091332586619319,1,0.135563055,0.184235455
"Campephilus_rubricollis","upland",2,3,1,2,1.67,0.1481,0.017084178,0.018210512,6286,2002,3.13986,547.5064935,1096108,0.005734836,0.00420996,-1.840579029,2929.204192,10678,1621.744589,0.00168255,0.009741741,NA,NA,3.466749647,"Campephilus_rubricollis_AMNH3870",6.039853347,0.153775,46.34,35.2,10.72,11.7,35.0090909090909,179.090909090909,31.94,146.16,17.92,123.363636363636,1,1,1,3,4,3,210.7,6911322.08,0.105807763734431,0.111335997614467,0.353062772901664,0.102419001116912,0.877571500250878,0.521261746901114,0.00086022519449874,-0.195764,0.0819819,-0.0343676,0.0774582,0.0904135671575573,0.0697642394805666,0.000910323052291004,4,0.140376991,0.134076364
"Cantorchilus_leucotis","floodplain",3,2,2,2,2,0.2349,0.013718867,0.01448178,9635,2108,4.570683,589.721537,1243133,0.007750579,0.005764963,-1.543682345,3952.093827,14021,2498.594737,0.00216913,0.010662576,NA,NA,3.560639463,"Cantorchilus_leucotis_FMNH389261",6.094517595,0.07832,18.8333333333333,12.4428571428571,3.53333333333333,3.77333333333333,22.0285714285714,62.0666666666667,7.5875,54.7875,12.175,48.1333333333333,1,2,1,3,4,3,19.4,8709608.57,0.174083139063004,0.172980988996728,0.39636484069494,0.166286211054141,0.900712589073634,0.560263680654882,0.001221363803187,-0.567823,0.239964,-0.310359,0.242887,0.131108289921531,0.133702862464753,0.0013175014556054,1.5,0.141582839,0.26479
"Celeus_flavus","floodplain",1,1,1,1,1,0.045639,0.012779335,0.013571457,3507,2007,1.747384,563.9197808,1131787,0.00309864,0.002752645,-1.265167464,1429.642671,5072,998.5947368,0.00094733,0.004481409,NA,NA,3.155227502,"Celeus_flavus_KU675",6.053764701,0.002141,28.4818181818182,22.5,8.3,8.94285714285714,25.8,140.227272727273,26.37,114.48,18.73,90.9545454545455,1,1,1,3,4,3,147.3,6163251.01,0.0589851550549099,0.0601438457347328,0.272999647453756,0.0578992583241266,0.711365902293121,0.419308409502007,0.000570492868571295,-0.0682439,0.0336172,-0.0390072,0.0402253,0.056322629346385,0.0233042278734406,0.00058123964389693,2,0.217301873,0.049212222
"Celeus_grammicus","upland",3,2,1,1,1.67,0.13474,NA,NA,6690,1988,3.365191,573.0583501,1139240,0.005872336,0.004627848,-1.514721574,2828.253907,10310,1789.341991,0.00171323,0.009049893,NA,NA,3.451518396,"Celeus_grammicus_MPEG13886",6.056615225,0.0049,24.8294117647059,17.225,6.87692307692308,6.44615384615385,20.6470588235294,122.794117647059,27.71875,95.8125,22.475,71.0294117647059,1,1,1,3,4,3,64.5,5521579.18,0.100624559379907,0.105813626073879,0.349367735500131,0.0969884149092607,0.87871162556618,0.519375111630067,0.00102145199795367,-0.115385,0.0556824,-0.0187498,0.064538,0.106541338392301,0.0744631489005648,0.00117910717780123,1,0.167672136,0.105184545
"Conirostrum_bicolor","island",1,1,1,2,1.33,0.098376,0.001189885,0.001194174,7991,2157,3.704682,737.7176634,1591257,0.005021816,0.003257715,-0.883582594,2334.178551,7423,1879.879121,0.0012413,0.004664866,NA,NA,3.368134074,"Conirostrum_bicolor_9_LSU7282",6.201740327,0.00366,13.7857142857143,8.275,3.32,3.55714285714286,18.1142857142857,62.0571428571429,12.2,48.175,20.2,46.8428571428571,2,2,1,3,4,3,10.5,566641.85,0.0719197876937138,0.0733742691148339,0.322926205416378,0.0706026167602483,0.836042731072921,0.506714742197162,0.000892549388814343,-0.0582181,0.0443121,-0.00119938,0.0442609,0.107358794096296,0.054919600575804,0.0008963975134283,1,0.195134409,0.143780278
"Conirostrum_margaritae","island",1,1,1,1,1,0.007834,0.000653632,0.000656233,1430,2078,0.688162,727.1308951,1510978,0.000946407,0.001440006,-0.472937216,1058.292011,2744,967.3571429,0.00067018,0.001816042,NA,NA,3.024605518,"Conirostrum_margaritae_16_Goeldi15984",6.179258141,0.001231,13.125,7.975,3.575,3.675,16.25,59.75,12.175,47.575,20.425,40.875,1,2,2,3,4,3,9.7,77630.04,0.0248467796109764,0.0247257333925766,0.199842848945961,0.0321772509511761,0.532398452611219,0.345438186414747,0.000543527938999795,0.0775081,-0.00375565,0.10821,-0.00649683,0.0818535162626255,-0.00234025536147667,0.000541980096201608,1,0.388523519,0.03734
"Cranioleuca_vulpecula","island",1,1,1,1,1,0.074088,0.000553476,0.000555285,1636,2145,0.762704,736.9067599,1580665,0.001035007,0.001801642,-0.808782519,1021.969593,3250,839.8461538,0.00057614,0.002056097,0.005021217,0.003219575,3.009437974,"Cranioleuca_vulpecula_25_INPA_A123",6.198839837,0.000268,17.2,10.9428571428571,3.4125,4.2125,19.9375,69.65,10.2285714285714,58.8142857142857,14.7571428571429,62.8,1,2,1,3,4,3,18.9,340457.78,0.0535542455872218,0.0534515649387214,0.231292139067445,0.0542666138217909,0.588483146067416,0.35986578808408,0.000413045757578975,-0.0195361,0.0222037,0.0498066,0.0203256,0.0745708662643246,0.0333669844718449,0.000420966815183341,2,0.271633776,0.069024286
"Crypturellus_undulatus","floodplain",2,4,2,3,2.33,0.37167,0.009880672,0.010322705,6513,2040,3.192647,566.7539216,1156178,0.005633216,0.004561507,-1.222370764,2418.337835,8318,1728.594771,0.00158963,0.007194394,NA,NA,3.38351697,"Crypturellus_undulatus_MPEG14258",6.063024701,0.068399,34,12.425,6.02,5.76,47.9571428571429,172.5,34.95,137.8,20.2666666666667,56.6428571428571,1,1,1,1,3,2,564.4,8533511.59,0.209649094091982,0.23119783667006,0.412224709849179,0.200401556792314,0.881256133464181,0.577075652173226,0.00116593706731677,-0.443542,0.20911,-0.30591,0.329886,0.238681871444051,0.242783460222966,0.00134545985412776,NA,0.145260791,0.310002222
"Crypturellus_variegatus","upland",2,3,2,2,2,0.26527,0.014124068,0.015128269,11149,2070,5.38599,547.9487923,1134254,0.009829368,0.007586387,-1.151852546,4051.87567,14375,2939.936842,0.00279079,0.012673528,NA,NA,3.607656111,"Crypturellus_variegatus_INPA131",6.05471032,0.155614,33.6444444444444,13.6875,5.2875,4.975,41.1111111111111,155.444444444444,50.1,105.52,32.24,44.5555555555556,1,1,1,1,3,2,378,5436849.92,0.165705136198725,0.189163186450292,0.40233964520312,0.158004139533245,0.934235976789168,0.583979994625172,0.00159324526345647,-0.39487,0.172354,-0.143627,0.188673,0.122911399430331,0.139724211292216,0.00179316072265017,NA,0.141755644,0.229658
